ko,en,ko_len,en_len
"생물학적 다양성은 감소되었다.
","Bio-diversity has been reduced.
",17,32
"미국에서는 속도가 아주 중요한 요소이다.
","/ In the United States, / speed is a very important factor.
",23,60
"음식에 대한 미국의 태도 또한 변화되고 있다.
","America's attitude toward food / is changing, too.
",26,51
"환경법규의 도입은 고통스러운 과정이다.
","The introduction of environmental rules is a painful process.
",22,62
"침전, 중화와 같은 물리적, 화학적 처리
","- Physical and chemical treatment
",23,34
"하지만 이 소련의 노인들만이 그런 것은 아니다.
","/ But these Soviet old people aren't alone.
",27,44
"- 난 무엇인가 기묘한 것을 보았습니다.
","- I've seen some weird stuff.
",23,30
"그것들은 무엇을 하기 위한 것인가?
","What do people do there?
",20,25
"- 저 곳에는 간담을 서늘하게 할 만한 일들이 있죠.
","- And I think there's a lot of aliens out there.
",30,49
"- 이곳은 국내에서 가장 잘 알려진 비밀기지입니다.
","- This is the best publicized secret base in the
",29,49
"- 2년 동안 이곳에 있었습니다.
","- I've been here for two years.
",19,32
"- 정말이지 아는 게 없습니다.
","- I really don't know.
",18,23
"기지의 몇몇 일상적인 업무 과정을 알고 있습니다.
","I know some of the routine procedures
",28,38
"- 모르고 있습니다.
","- what's going on in there.
",12,28
"이 기지는 냉전의 유물이다.
","It's a holdover of the Cold War.
",16,33
"- 그래 그들이 당신에게 뭐라고 말했나요?
","- And what did they say to you?
",24,32
"- 어째서 그렇게 대단한 것입니까?
","- admit that it exists?
",20,24
"그저 편안한 마음으로 경치를 즐기는 것이다.
","Just make yourself comfortable and enjoy the scenery.
",25,54
"- 여보, 이쪽이야, 아니면 저쪽이야?
","- Here, honey, or over there?
",22,30
"- 당신은 그 시설들의 일부를 지금 볼 수 있습니다.
","- You can see some of them right now.
",30,38
"- 네, 보이는군요.
","- Yeah, I can see them.
",12,24
"- 우리가 염탐을 할 수 있죠.
","- now we can spy back.
",18,23
"왜 그토록 건전해보이는 회사가 대상이 되는가?
","Why target a company that can be nauseatingly wholesome?
",26,57
"존 드라이어 대변인은 냉소적으로 이렇게 말한다:
","Says spokesman John Dreyer with a shrug:
",27,41
"디즈니사만이 아니다.
","Disney is not alone.
",12,21
"불매운동가들의 시선을 끌고 싶은가?
","Want to attract boycotters?
",20,28
"맥도날드의 대변인 척 에벨링은 한숨을 쉬며 말한다.
","Sighs McDonald's spokesman Chuck Ebeling:
",29,42
"천안문 사태의 유혈 진압 사진들도 공개된다.
","Pictures of the bloody Tiananmen crackdown are available.
",25,58
"그것은 검열관에게는 악몽과 같은 일이다.
","That's a censor's nightmare.
",23,29
"싱가포르는 단지 ""공공분야""만을 단속할 계획이다.
","Singapore plans to police only ""public areas.""
",28,47
"중국의 인터넷에 대한 두려움은 많이 과장되어 왔다.
","China's fear of the Internet has been much exaggerated.
",29,56
"상업과 지구가 모두 번성할 수 있다.
","/ both commerce and the planet can prosper.
",21,44
"돈을 벌고 싶으면 토지를 개간해야 한다.
","If you want to make money, / you have to clear land.
",23,53
"목재는 몇 백 달러를 더 벌어들일 뿐이었다.
","/ Timber brought in only a few hundred dollars more.
",25,53
"그리고 우리는 계속해서 외식을 하며
","And we continue to go out to eat
",20,33
"사상자나 크게 피해를 입었다는 보고는 없었다.
","/ No injuries or major damage was reported.
",26,44
"그러나 그와 같은 노력은 아직은 겉돌고 있다.
","But such efforts remain peripheral.
",26,36
"인도는 훨씬 늦게 게임에 뛰어 들었다.
","India got into the game much later.
",22,36
"두 나라에는 아직은 국유 분야가 많이 있다.
","Both countries still have large state sectors.
",25,47
"그러므로 실제로 음식의 악마가 있는것처럼 보인다:
","Thus, it appears, there really is a food demon:
",28,48
"(우리에게는 아직 이틀이라는 시간이 남아있다.)
","We have two days to go.
",27,24
"(햄버거 두 개를 가져가게 싸 주세요.)
","Two hamburgers to go, please.
",23,30
"(나는 그가 정직하다고 생각한다.)
","= He is believed (to be) honest.
",20,33
"지난 주 하늘에서는 새로운 소식이 쏟아졌다.
","The heavens rained news last week.
",25,35
"여기에 그 중요한 내용을 이해하는 방법이 있다.
","Here's how to understand the highlights.
",27,41
"두번째 행성의 물은 아마 얼어있을 것이다.
","Water on the second planet is probably frozen.
",24,47
"가장 큰 지상 망원경으로도 볼 수 없었습니다.
","that they have not been seen by the largest terrestrial telescopes.
",26,68
"우리는 이런 질문을 하며 되돌아 보기를 시작해 본다:
","We begin our look back with the question:
",30,42
"일본인들은 항복할 조짐을 보이지 않고 있었다.
","The Japanese were showing no signs of surrender.
",26,49
"그들은 협상을 원했다.
","They did want to negotiate.
",13,28
"트루먼은 폭탄을 투하해야만 했다.
","Truman had to drop the bomb.
",19,29
"1945년 여름 에 그는 선택의 여지가 없었다.
","He had no choice in the summer of 1945.
",27,40
"우리는 히로시마에 원자탄을 투하하지 말았어야 했다.
","We should not have dropped the atomic bomb on Hiroshima.
",29,57
"그리고 나는 그것이 옳은 것이라고 생각한다.
","And I think that may be right.
",25,31
"한 가지 예가 해외에서의 미국의 생산 조업 상태이다.
","One example is / the flight of U.S. manufacturing operations abroad.
",30,69
"그들은 오로지 돈을 위해서만 일한다.
","They work solely for money.
",21,28
"유럽에서도 마찬가지이다.
","The same holds true for Europe.
",14,32
"walk 신분; 직업;
","Learn how to talk the walk
",13,27
"조만간 당신 부서도 이 문제에 부닥칠 것이다.
","Sooner or later the question will wind up in your department.
",26,62
"중국에는 인구 1백만 이상의 도시들이 95개 있다.
","There are 95 cities in China with populations over 1m.
",29,55
"그러면 2000년에는 어떤 도시들이 잘 나갈 것인가?
","So which cities will do well in 2000?
",30,38
"수도들 중에서 가장 높은 점수를 얻은 곳은 런던이다.
","Among capitals, it is London that scores best.
",30,47
"1990년 금융제도의 자율화가 개발 붐을 일으켰다.
","The financial liberalization of the banking system in 1990 resulted in a surge of development.
",29,95
"도쿄를 제외한 곳곳에 건물들이 세워질 것이다.
","Construction is to be seen everywhere
",26,38
"지속적인 세계 인구 증가는 상황을 악화시킬 뿐이다.
","The continued increase in the global population will only exacerbate the situation.
",29,84
"여기에는 다소 낙관할 수 있는 요인이 있다.
","Here there is some cause for optimism.
",25,39
"MBA도 받지 않았다.
","Doesn't have an MBA.
",13,21
"사람들은 그를 위해 산으로 돌격한다.
","People charge over the hill for him.
",21,37
"그는 주목을 요구하는 것이 아니라 명령한다.
","He doesn't demand attention, he commands it.
",25,45
"당신한테는 없으나 그에게는 있는 것이 무엇인가?
","What's he got that you don't?
",27,30
"대부분의 사람들에게 그것은 불가해한 X요인
","To most people, it's the inscrutable X factor
",24,46
"많은 사람들이 카리스마를 가지고 있는 것은 아니다.
","Not many people have charisma.
",29,31
"카리스마는 속임수 같은 것이다.
","Charisma is a tricky thing.
",18,28
"그러나 히틀러와 찰스 맨슨도 그랬다.
","Jack Kennedy oozed it, but so did Hitler and Charles Manson.
",21,61
"현명하게 사용하면 축복이다.
","Used wisely, it's a blessing.
",16,30
"카리스마적인 망상가들은 사람들을 앞으로 이끈다.
","Charismatic visionaries lead people ahead, and sometimes astray.
",27,65
"그러나 일단 보이면 알게 된다.
","But you know it when you see it.
",18,33
"그러나 이것들은 카리스마에 비하면 일용품 정도이다.
","But those are commodities compared with charisma.
",29,50
"그 결과는 카리스마에 대한 일종의 게릴라전이 된다.
","The result is a sort of guerrilla war against charisma.
",29,56
"카리스마는 기업에따라 중요성에 다소 차이가 있다.
","Charisma matters more or less, depending on the business.
",28,58
"메인 주의 북동부 미국 도시인 오거스타에서
","from the northeastern U.S. city of Augusta, Maine.
",24,51
"디즈니의 해외 사업전망도 개선되어 가고 있다.
","Disney's overseas prospects also are improving.
",26,48
"그러나 현재는 거의 손익분기점에 도달해 있다.
","Today, however, the park is near the break-even point.
",26,55
"요즘 대부분의 기업들이 그렇지 않은가?
","Aren't most companies these days?
",22,34
"그는 미시시피 대학에서 학사 학위를 받았다.
","His college degree is from the University of Mississippi.
",25,58
"그래서 그는 기꺼이 그 값을 충분히 치르고자 한다;
","And he's willing to pay plenty for it;
",29,39
"그들의 비결은 무엇인가?
","What's their secret?
",14,21
"GE를 재편해 낸 잭 웰치를 상기해 보자
","Remember Jack Welch redirecting GE
",23,35
"박스데일도 동일한 기법을 사용한다.
","Barksdale uses the same technique.
",20,35
"기술자들은 제품 납기일을 맞추느라 쩔쩔매고 있었다.
","Engineers were panicked about product delivery deadlines.
",29,58
"매니저들은 전략의 갈피를 못 잡고 있었다.
","Managers were bewildered about strategy.
",24,41
"종업원들에 대한 그의 메시지는 다음과 같다:
","His message to employees:
",25,26
"탈출 속도에 도달하지 못하면 지구로 추락할 것이다.
","If it fails to reach escape velocity, it will crash back to earth.
",29,67
"""우리는 전속력으로 달려야 합니다.
","""We've got to go full speed.
",20,29
"미 식품의약품국장은 밝혔습니다
","The head of the U.S.
",17,21
"카리스마적인 지도자들은 위험을 즐긴다.
","They feel empty without it.
",22,28
"그들의 대담성이 카리스마를 더해주는 것이다.
","Their audacity enhances their charisma.
",25,40
"그들은 마음과 동시 에 정신으로 일한다.
","They work on hearts as well as on minds.
",23,41
"""먼저 내가 왜 일자리를 택했는가부터 설명했습니다.""
","""I started by explaining why I took the job.""
",30,46
"우리가 하려고 하는 일의 모델은 없다.
","There's no model for what we're going to do.
",22,45
"당신은 용감해야 하며, 자신감이 넘쳐야 한다.
","You have to be courageous, filled with self-confidence.
",26,56
"어떻게 이 일을 하지 않을 수 있겠는가?
","How can you not do it?
",23,23
"카리스마적인 사람들은 인습과 싸우는 반항아들이다.
","Charismatics are rebels who fight convention.
",28,46
"그녀를 만나면 제일 먼저 그녀의 스커트가 눈에 띈다.
","Meeting Gadiesh, you first notice her skirt;
",30,45
"그것은 그녀의 무릎 위 8인치에서 시작된다.
","it starts about eight inches above her knee.
",25,45
"다음은 그녀의 머리로, 옆과 뒤에서 보면 자홍색이다.
","viewed from the side and back, it's magenta.
",30,45
"수익은 연 25%씩 늘어나고 있다.
","Revenues are increasing 25% a year.
",20,36
"성공이란 감정적인 지렛대를 당겨 얻어지는 것이다.
","Success comes from pulling emotional levers.
",28,45
"그녀는 이것을 없애기 위해 자신의 재치를 번득인다.
","She flashes her wit to kill it.
",29,32
"호주 측은 말하고 있습니다
","Peng is to be deported.
",15,24
"공통적인 입장을 찾으려면 이것이 첫 걸음입니다.""
","1 if you're going to find common ground.""
",28,42
"박스데일은 재빨리 그의 핵심 인물들을 불러 모았다.
","Barksdale quickly assembled his key people.
",29,44
"그런 다음 엉뚱한 제안을 하나 했다:
","Then he made an odd suggestion:
",21,32
"가디쉬는 내적인 나침반을 사용하라고 권한다.
","Gadiesh suggests using an internal compass.
",25,44
"그녀는 정 북쪽을 개인적인 지침으로 삼았다.
","She adopted true north as her personal guideline.
",25,50
"그러나 당신의 기술이 개선될 것만은 틀림없다
","But you'll certainly improve your technique
",25,44
"어휘 : 콩고 화산 폭발로 40명 이상 사망
","Lava edged with black crust inched through the eastern Congolese city of Goma, nearly two days after Mount Nyiragongo erupted, killing more than 40 people and forcing half a million people to flee.
",25,198
"정상 회담은 오늘 늦게 끝날 것입니다.
","The summit will end later today.
",22,33
"대형 엔진과 아름다운 여인.
","Big engines and pretty women.
",16,30
"자동차 쇼에서 수 많은 신기술들이 선을 보였다.
","There was plenty of new technology on display at the show.
",27,59
"블랙 박스라고 불러도 괜찮을 것이다.
","black boxes, if you will
",21,25
"뒷좌석에 다리 뻗을 공간이 없어요.""
","It doesn's have any leg room in the back.""
",21,43
"루이스는 안티구아 서쪽 100km 상에 있었습니다
","Luis was more than 100 kilometers west of Antigua.
",28,51
"그리고 공화당의 추정은 절반만 맞았다.
","And the GOP's presumptive was only half right.
",22,47
"매수를 당했거나 마찰로 회사를 떠난 사람들도 있고;
","Some of these people took buyouts or left via attrition;
",29,57
"최고 경영자들은 무슨 생각을 하고 있었을까?
","What were their leaders thinking?
",25,34
"다른 사람들은 해고를 바람직한 것인 양 이야기했다.
","Others talked about cuts as if they were desirable.
",29,52
"추가로 3,000명이 1999년에 감원되었다.
","another 3,000 people were axed in 1999.
",26,40
"그러나 만약 여론 조사가 어떤 암시를 하는 것이라면
","But if opinion polls are any indication, the vote is going to be very close.
",29,77
"그는 또한 적어도 교회 네 곳이 파괴됐다고 말했다.
","At least four churches were destroyed, he said.
",29,48
"TV와 PC용 디지탈 비디오디스크가 몰려 오고 있다.
","Digital videodiscs for TVs and PCs are coming.
",30,47
"CD에는 영화 전편 두 개가 들어 있다.
","The CD contains two full-length movies
",23,39
"한 면은 ""백설공주"", 다른 면은 ""라이온 킹""이다.
","""Snow White"" on one side, ""The Lion King"" on the other.
",30,56
"아이들이 ""백설공주""를 고른다.
","The kids choose ""Snow White.""
",18,30
"아이들은 떠들다가 잠자리에 든다.
","The children cackle and shuffle off to bed.
",19,44
"이제껏 가장 중요한 비밀을
","If this group of demonstrators is correct, the U.S. government is covering up the most important secret of all time:
",15,117
"이것이 사실일까요?
","Can any of this be true?
",11,25
"많은 아프간 사람들처럼 이들도 이름만 사용한다.
","Like many Afghans, they use only one name.
",27,43
"국제평화유지군은 오랫동안 이곳에 있을 것이다.
","International peacekeeping forces will be here for years.
",26,58
"DVD 플레이어가 적어도 500달러에 팔린다.
","DVD players sell for at least $500.
",26,36
"디지탈 디스크에는 두 가지 주요한 단점이 있다.
","Digital discs have two major handicaps.
",27,40
"DVD는 우선 영화만을 보여주게 될 것이다.
","DVD units will play only movies at first
",25,41
"이런 단점 때문에 VCR은 당분간 살아 남을 것이다.
","That deficiency could save the VCR for a while.
",30,48
"지켜볼 가치가 있는 추세이다.
","It's a trend well worth watching.
",17,34
"그는 8년 간의 징역형을 받을 수도 있습니다
","He could get eight years in jail.
",25,34
"ERI는 완구라기 보다는 취미에 가깝다.
","The ER1 is more of a hobby than a toy.
",23,39
"새로운 얼굴이 새로운 일자리를 보장하는 것은 아니라고
","that a new face doesn't guarantee a new job.
",30,45
"즉 버리는 소와 양의 살을 가축에게 먹이는 관행이다.
","feeding cattle the rendered parts of cows and sheep.
",30,53
"죄수들은 이미 멕시코 기업들을 위해 일하고 있다.
","Convicts already do work for Mexican companies.
",28,48
"그 영화의 몇 장면은 E.T.
","Some of the movie takes place around the E.T.
",17,46
"한 건은 기각되었고 나머지는 계류 중이다.
","One case was dismissed, another is pending.
",24,44
"다시 말해 내다 팔 장신구가 있는 거룩한 땅이다.
","holy ground with trinkets for sale.
",28,36
"주지사도 이에 동의한다:
","And the governer agrees:
",14,25
"피주티와 같은 말을 하는 사람들이 있을지도 모르겠다.
","Some might say the same about Pizzuti.
",30,39
"대부분의 팔레스타인 여성들은 담배를 피우지 않는다.
","most Palestinian women don't smoke.
",29,36
"다른 상인들도 이 같은 추세를 확인했다.
","Other vendors confirmed the trend.
",23,35
"궤양치료 알약을 사마귀 치료에?
","Ulcer pills for warts?
",18,23
"그런 약품들을 찾는 것은 의사들과 환자들의 책임이다.
","It is up to doctors and patients to seek them out.
",30,51
"하지만 증가하고 있는 노인 인구수에따라
","to indicate elder abuse is on the rise.
",22,40
"하지만 ""누구나""의 정의에따라 상황은 달라진다.
","That, however, depends on the definition of ``anybody.’
",27,56
"알-무바락은 ""소수의 민주주의일 뿐이다라고 말했다.
","``It's only a democracy of the few,’’ al-Mubarak said.
",29,55
"FDA에서 그런 일을 할 수 있을까?
","Can the FDA do that?
",21,21
"그리고 그것이 미국의 흡연율을 낮출 수 있을 것인가?
","And would it reduce smoking in America?
",30,40
"그 이후 담배 광고는 약 3%로 떨어졌다.
","Ads for cigarettes have since fallen to about 3%.
",24,50
"세계적으로 흡연자들은 가장 충직스러운 소비자들이다.
","Smokers are the most loyal consumers in the world.
",29,51
"그래서 그녀가 회수한 것의 25%를 자신이 갖습니다
","keeping 25 percent of what she recovers.
",29,41
"그녀 사업의 잠재력은 대단합니다
","The potential in her business is great:
",18,40
"민간부문에서 그런 일을 할 수는 없다고
","the private sector can't do it.
",22,32
"주 정부기관들이 복지 사건에만 매달려 있다고
","But moms who aren't poor complain that state agencies focus on welfare cases.
",25,78
"이 성소는 지난 2년 동안 절망의 도시였다.
","This holy town has been a place of despair for the last two years.
",25,67
"어린이 십여명은 모르는 사람들에게 돈을 구걸했다.
","A couple of children begged strangers for money.
",28,49
"물론 종업원들은 회사를 완전히 신뢰했다.
","Its employees, of course, bought into it completely.
",23,53
"즉 그들이 모든 것을 회사에 맡긴다면
","if they committed completely to IBM
",21,36
"그들은 평생도록 보호를 받았다.
","then they were taken care of for life.
",18,39
"그것은 의심의 여지없이 옳았다.
","It was right there in black and white.
",18,39
"바로 생존을 위한 싸움이었다.
","it was fighting for its very life.
",17,35
"방문객들이 거의 잊지 못할
","It is a chilling place few visitors will ever forget:
",15,54
"증오, 편견, 그리고 대량 학살의 장면과 소리들을
","the sights and sounds of hatred, prejudice and genocide.
",28,57
"금년초 이라크 정보부는 ""사담 후세인:
","Earlier this year, the Iraqi Information Ministry *brought out ``Saddam Hussein:
",22,81
"후세인 대통령의 계율은 삶의 모든 부분에 미친다.
","Saddam’s commandments cover all aspects of life.
",28,49
"그리고 그들은 두 가지 논점 모두에서 옳다.
","And they're right on both counts.
",25,34
"회사들도 그들이 해야 할 말을 썩 잘 하지는 못했다.
","to soften the blow for that 55-year-old out-of-work middle manager is its biggest failure.
",30,91
"그들이 플로리다 복권에서 2천만 달러를 타던 날에는
","This was Paul and Donna Cooney on the day they won $20 million in the Florida Lottery.
",29,87
"하지만 그 행운은 희비가 엇갈리는 것이 되었습니다
","But the fortune turned bitter-sweet.
",28,37
"그녀는 취득액의 절반을 가져가게 될 것입니다
","she'll take home half the take.
",25,32
"당연시 될 것이다.
","and as taken for granted
",11,25
